order_id,order_ref,customer_id,store_id,order_channel,order_status,order_date,completed_at,total_amount,discount_amount,vat_amount,payment_method,payment_reference,loyalty_points_earned,is_returned,created_at
1,NP-2025-0000001,,29,in_store,completed,2025-01-01 18:40:00,2025-01-01 19:15:00,158.44,3.33,10.57,online,TXN83137443,190,False,2025-01-01 18:40:00
2,NP-2025-0000002,267,23,in_store,completed,2025-01-01 16:25:00,2025-01-01 17:06:00,58.79,0.87,3.92,card,TXN87781432,70,False,2025-01-01 16:25:00
3,NP-2025-0000003,349,5,click_collect,returned,2025-01-01 15:07:00,2025-01-01 15:27:00,167.23,12.52,11.15,card,TXN72588071,200,False,2025-01-01 15:07:00
4,NP-2025-0000004,,10,in_store,returned,2025-01-02 21:18:00,2025-01-02 21:27:00,7.24,0.05,0.48,card,TXN39168908,8,False,2025-01-02 21:18:00
5,NP-2025-0000005,403,28,in_store,returned,2025-01-02 17:42:00,2025-01-02 18:26:00,48.63,5.59,3.24,card,TXN48019256,58,False,2025-01-02 17:42:00
6,NP-2025-0000006,113,2,in_store,completed,2025-01-02 14:09:00,2025-01-02 14:33:00,80.32,2.4,5.36,card,TXN49030787,96,False,2025-01-02 14:09:00
7,NP-2025-0000007,160,6,in_store,returned,2025-01-03 19:25:00,2025-01-03 19:54:00,161.23,13.14,10.75,card,TXN90133190,193,False,2025-01-03 19:25:00
8,NP-2025-0000008,,19,in_store,cancelled,2025-01-03 12:16:00,2025-01-03 12:47:00,57.34,3.76,3.82,card,TXN49907513,68,False,2025-01-03 12:16:00
9,NP-2025-0000009,240,12,in_store,completed,2025-01-03 09:08:00,2025-01-03 09:39:00,92.92,4.69,6.2,online,TXN57990755,111,False,2025-01-03 09:08:00
10,NP-2025-0000010,298,17,in_store,completed,2025-01-04 06:49:00,2025-01-04 06:59:00,112.47,8.38,7.5,card,TXN42567348,134,False,2025-01-04 06:49:00
11,NP-2025-0000011,414,25,in_store,returned,2025-01-04 07:48:00,2025-01-04 08:19:00,75.22,7.57,5.02,card,TXN72117013,90,False,2025-01-04 07:48:00
12,NP-2025-0000012,443,2,in_store,completed,2025-01-04 09:21:00,2025-01-04 10:00:00,103.74,8.4,6.92,online,TXN54467352,124,False,2025-01-04 09:21:00
13,NP-2025-0000013,,28,click_collect,completed,2025-01-04 12:33:00,2025-01-04 12:54:00,28.44,2.14,1.9,online,TXN95854802,34,False,2025-01-04 12:33:00
14,NP-2025-0000014,451,4,in_store,returned,2025-01-04 21:39:00,2025-01-04 21:47:00,16.28,0.48,1.09,card,TXN91039410,19,False,2025-01-04 21:39:00
15,NP-2025-0000015,,27,in_store,completed,2025-01-05 22:28:00,2025-01-05 23:04:00,57.14,1.78,3.81,contactless,TXN34701959,68,False,2025-01-05 22:28:00
