transaction_id,member_id,transaction_type,points,basket_value_gbp,store_id,channel,sku,transaction_at,created_at
11061,487,earn,373,46.32,30,in_store,NP-SKU-00027,2025-01-01 08:10:00,2025-01-01 08:10:00
10955,408,earn,210,147.22,,click_collect,NP-SKU-00148,2025-01-01 08:42:00,2025-01-01 08:42:00
2137,205,earn,416,14.21,14,in_store,NP-SKU-00048,2025-01-01 09:30:00,2025-01-01 09:30:00
11121,504,earn,384,150.23,26,in_store,NP-SKU-00007,2025-01-01 10:00:00,2025-01-01 10:00:00
12128,423,earn,157,151.59,10,online,NP-SKU-00004,2025-01-01 10:25:00,2025-01-01 10:25:00
480,204,earn,302,95.58,10,in_store,NP-SKU-00077,2025-01-01 11:13:00,2025-01-01 11:13:00
3097,375,earn,101,30.66,6,in_store,NP-SKU-00027,2025-01-01 13:22:00,2025-01-01 13:22:00
366,286,earn,482,116.57,18,in_store,NP-SKU-00117,2025-01-01 13:23:00,2025-01-01 13:23:00
7401,23,earn,287,167.03,26,online,NP-SKU-00058,2025-01-01 13:25:00,2025-01-01 13:25:00
3333,91,redeem,123,,,online,,2025-01-01 14:04:00,2025-01-01 14:04:00
6073,393,earn,32,48.55,7,click_collect,NP-SKU-00052,2025-01-01 14:04:00,2025-01-01 14:04:00
4500,199,earn,15,49.08,12,in_store,NP-SKU-00027,2025-01-01 15:51:00,2025-01-01 15:51:00
1857,412,earn,134,81.05,,in_store,NP-SKU-00019,2025-01-01 17:55:00,2025-01-01 17:55:00
11197,140,earn,389,79.59,,click_collect,NP-SKU-00108,2025-01-01 18:06:00,2025-01-01 18:06:00
548,28,earn,64,54.39,,online,NP-SKU-00101,2025-01-01 18:20:00,2025-01-01 18:20:00
10200,388,redeem,138,,26,online,,2025-01-01 19:38:00,2025-01-01 19:38:00
12845,298,redeem,64,,6,click_collect,,2025-01-01 19:45:00,2025-01-01 19:45:00
10694,191,redeem,121,,,click_collect,,2025-01-01 20:15:00,2025-01-01 20:15:00
3662,248,earn,294,126.89,22,online,NP-SKU-00126,2025-01-01 20:18:00,2025-01-01 20:18:00
6964,222,earn,258,136.7,1,click_collect,NP-SKU-00134,2025-01-01 20:23:00,2025-01-01 20:23:00
12172,110,earn,371,179.13,,click_collect,NP-SKU-00077,2025-01-01 21:42:00,2025-01-01 21:42:00
3697,262,earn,101,47.11,28,click_collect,NP-SKU-00025,2025-01-01 22:32:00,2025-01-01 22:32:00
4527,433,earn,411,123.56,26,click_collect,NP-SKU-00068,2025-01-01 22:40:00,2025-01-01 22:40:00
11805,399,earn,148,144.43,23,click_collect,NP-SKU-00053,2025-01-02 08:40:00,2025-01-02 08:40:00
4233,315,earn,446,137.95,13,in_store,NP-SKU-00135,2025-01-02 09:05:00,2025-01-02 09:05:00
10133,342,redeem,163,,18,online,,2025-01-02 09:15:00,2025-01-02 09:15:00
11462,257,earn,212,158.17,5,click_collect,NP-SKU-00110,2025-01-02 09:30:00,2025-01-02 09:30:00
7024,350,earn,250,36.96,,online,NP-SKU-00092,2025-01-02 10:03:00,2025-01-02 10:03:00
10264,202,redeem,261,,10,click_collect,,2025-01-02 10:55:00,2025-01-02 10:55:00
9936,496,earn,327,144.7,19,online,NP-SKU-00030,2025-01-02 10:59:00,2025-01-02 10:59:00
3325,472,earn,402,93.36,20,online,NP-SKU-00030,2025-01-02 11:09:00,2025-01-02 11:09:00
13336,388,earn,345,71.36,,online,NP-SKU-00087,2025-01-02 12:54:00,2025-01-02 12:54:00
4374,405,earn,272,71.25,25,click_collect,NP-SKU-00065,2025-01-02 12:57:00,2025-01-02 12:57:00
5957,401,earn,327,71.61,12,click_collect,NP-SKU-00026,2025-01-02 13:06:00,2025-01-02 13:06:00
8388,207,redeem,280,,,in_store,,2025-01-02 13:35:00,2025-01-02 13:35:00
9398,466,earn,474,33.5,17,online,NP-SKU-00049,2025-01-02 13:50:00,2025-01-02 13:50:00
6627,187,redeem,150,,26,in_store,,2025-01-02 14:10:00,2025-01-02 14:10:00
3583,23,earn,102,177.0,,click_collect,NP-SKU-00139,2025-01-02 14:50:00,2025-01-02 14:50:00
7466,102,redeem,135,,,click_collect,,2025-01-02 15:20:00,2025-01-02 15:20:00
7897,234,earn,311,95.55,28,in_store,NP-SKU-00048,2025-01-02 15:30:00,2025-01-02 15:30:00
6100,357,redeem,72,,13,in_store,,2025-01-02 15:41:00,2025-01-02 15:41:00
11405,358,redeem,219,,,in_store,,2025-01-02 17:12:00,2025-01-02 17:12:00
8929,381,earn,232,118.29,14,in_store,NP-SKU-00081,2025-01-02 18:27:00,2025-01-02 18:27:00
6426,444,earn,23,145.7,,online,NP-SKU-00095,2025-01-02 19:10:00,2025-01-02 19:10:00
11313,226,redeem,184,,12,click_collect,,2025-01-02 19:27:00,2025-01-02 19:27:00
12426,425,earn,164,74.33,18,in_store,NP-SKU-00004,2025-01-02 20:19:00,2025-01-02 20:19:00
10519,362,redeem,172,,28,click_collect,,2025-01-03 08:07:00,2025-01-03 08:07:00
2289,99,redeem,261,,21,click_collect,,2025-01-03 09:23:00,2025-01-03 09:23:00
11939,12,redeem,219,,15,in_store,,2025-01-03 10:08:00,2025-01-03 10:08:00
4173,315,redeem,272,,13,click_collect,,2025-01-03 11:10:00,2025-01-03 11:10:00
2592,151,redeem,94,,9,online,,2025-01-03 11:12:00,2025-01-03 11:12:00
12408,284,redeem,260,,18,in_store,,2025-01-03 11:31:00,2025-01-03 11:31:00
12359,385,earn,121,62.16,20,click_collect,NP-SKU-00063,2025-01-03 11:59:00,2025-01-03 11:59:00
2922,321,earn,117,107.18,,in_store,NP-SKU-00129,2025-01-03 13:18:00,2025-01-03 13:18:00
11154,406,earn,257,100.57,,click_collect,NP-SKU-00050,2025-01-03 14:07:00,2025-01-03 14:07:00
13127,54,redeem,97,,1,in_store,,2025-01-03 14:20:00,2025-01-03 14:20:00
9266,10,earn,252,136.46,21,online,NP-SKU-00081,2025-01-03 17:50:00,2025-01-03 17:50:00
3977,465,earn,188,125.59,18,online,NP-SKU-00127,2025-01-03 17:51:00,2025-01-03 17:51:00
6729,372,redeem,64,,25,in_store,,2025-01-03 18:31:00,2025-01-03 18:31:00
368,114,redeem,291,,17,online,,2025-01-03 19:06:00,2025-01-03 19:06:00
13154,164,redeem,167,,9,online,,2025-01-03 19:06:00,2025-01-03 19:06:00
