movement_id,dc_code,sku,movement_type,quantity,supplier_ref,movement_date,movement_time,timezone,reached_epos,week_number,notes
1,DC-LEEDS,NP-SKU-00046,receipt,131.7,SUP003-DEL-42918,2025-01-04,18:33,UTC,Y,1,
2,DC-NORW,NP-SKU-00138,receipt,469.8,SUP016-DEL-36144,2025-01-06,19:46,UTC,Y,1,
3,DC-GLAS,NP-SKU-00056,receipt,412.9,SUP007-DEL-29959,2025-01-05,20:42,UTC,Y,1,
4,DC-GLAS,NP-SKU-00087,receipt,474.0,SUP017-DEL-98785,2025-01-02,08:30,UTC,Y,1,
5,DC-BRIS,NP-SKU-00011,receipt,283.4,SUP014-DEL-36707,2025-01-03,17:59,UTC,Y,1,
6,DC-BHAM,NP-SKU-00119,write_off,451.1,SUP020-DEL-70647,2025-01-05,07:22,UTC,Y,1,
7,DC-LEEDS,NP-SKU-00042,transfer,301.8,SUP006-DEL-75954,2025-01-02,11:02,UTC,Y,1,
8,DC-BHAM,NP-SKU-00044,transfer,345.1,SUP014-DEL-20637,2025-01-01,19:40,UTC,Y,1,
9,DC-LEEDS,NP-SKU-00080,write_off,12.8,SUP011-DEL-27801,2025-01-01,22:25,UTC,Y,1,
10,DC-BHAM,NP-SKU-00055,transfer,136.2,SUP013-DEL-26561,2025-01-02,17:44,UTC,Y,1,
11,DC-BHAM,NP-SKU-00034,write_off,391.7,SUP005-DEL-89696,2025-01-04,19:07,UTC,Y,1,
12,DC-BHAM,NP-SKU-00037,receipt,95.3,SUP006-DEL-63723,2025-01-01,10:59,UTC,Y,1,
13,DC-GLAS,NP-SKU-00082,transfer,401.0,SUP009-DEL-25363,2025-01-02,17:11,UTC,Y,1,
14,DC-BHAM,NP-SKU-00129,receipt,15.5,SUP002-DEL-54228,2025-01-06,12:24,UTC,Y,1,
15,DC-MANC,NP-SKU-00103,transfer,212.9,SUP012-DEL-80040,2025-01-04,08:11,UTC,Y,1,
16,DC-MANC,NP-SKU-00103,transfer,122.8,SUP008-DEL-95637,2025-01-01,15:06,UTC,Y,1,
17,DC-NORW,NP-SKU-00081,receipt,384.4,SUP008-DEL-60273,2025-01-07,15:28,UTC,Y,1,
18,DC-BHAM,NP-SKU-00113,transfer,482.3,SUP009-DEL-19132,2025-01-07,22:18,UTC,Y,1,
19,DC-MANC,NP-SKU-00123,write_off,72.4,SUP009-DEL-66481,2025-01-06,15:26,UTC,Y,1,
20,DC-GLAS,NP-SKU-00041,receipt,195.7,SUP020-DEL-91089,2025-01-06,20:12,UTC,Y,1,
21,DC-MANC,NP-SKU-00051,receipt,12.1,SUP012-DEL-48718,2025-01-04,12:57,UTC,Y,1,
22,DC-NORW,NP-SKU-00044,receipt,332.0,SUP008-DEL-63509,2025-01-06,17:42,UTC,Y,1,
23,DC-BHAM,NP-SKU-00029,write_off,270.6,SUP001-DEL-78432,2025-01-04,15:43,UTC,Y,1,
24,DC-LEEDS,NP-SKU-00131,transfer,467.2,SUP009-DEL-64635,2025-01-06,20:35,UTC,Y,1,
25,DC-NORW,NP-SKU-00074,receipt,372.2,SUP004-DEL-50304,2025-01-05,08:37,UTC,Y,1,
26,DC-BHAM,NP-SKU-00107,receipt,190.9,SUP018-DEL-92103,2025-01-01,15:12,UTC,Y,1,
27,DC-BHAM,NP-SKU-00102,transfer,396.7,SUP009-DEL-70400,2025-01-07,16:08,UTC,Y,1,
28,DC-BRIS,NP-SKU-00100,transfer,285.3,SUP006-DEL-57164,2025-01-02,14:13,UTC,Y,1,
29,DC-BRIS,NP-SKU-00147,transfer,100.0,SUP016-DEL-85077,2025-01-03,21:42,UTC,Y,1,
30,DC-BHAM,NP-SKU-00137,receipt,498.6,SUP017-DEL-12020,2025-01-02,09:21,UTC,Y,1,
31,DC-BRIS,NP-SKU-00019,receipt,331.0,SUP001-DEL-84660,2025-01-07,14:40,UTC,Y,1,
32,DC-GLAS,NP-SKU-00082,transfer,138.2,SUP005-DEL-87089,2025-01-01,07:25,UTC,Y,1,
33,DC-BHAM,NP-SKU-00088,write_off,122.7,SUP010-DEL-30777,2025-01-01,20:03,UTC,Y,1,
34,DC-BRIS,NP-SKU-00059,receipt,67.4,SUP006-DEL-45756,2025-01-06,14:42,UTC,Y,1,
35,DC-BHAM,NP-SKU-00144,receipt,390.0,SUP006-DEL-56357,2025-01-03,08:47,UTC,Y,1,
36,DC-BHAM,NP-SKU-00033,receipt,83.6,SUP003-DEL-14336,2025-01-06,22:41,UTC,Y,1,
37,DC-LEEDS,NP-SKU-00091,receipt,311.3,SUP020-DEL-31116,2025-01-04,16:49,UTC,Y,1,
38,DC-MANC,NP-SKU-00112,receipt,160.7,SUP004-DEL-29210,2025-01-01,21:41,UTC,Y,1,
39,DC-NORW,NP-SKU-00004,receipt,194.7,SUP004-DEL-40848,2025-01-05,20:46,UTC,Y,1,
40,DC-GLAS,NP-SKU-00021,receipt,439.0,SUP006-DEL-68186,2025-01-07,17:16,UTC,Y,1,
41,DC-GLAS,NP-SKU-00012,write_off,204.3,SUP010-DEL-30817,2025-01-03,10:00,UTC,Y,1,
42,DC-GLAS,NP-SKU-00076,receipt,70.6,SUP014-DEL-19476,2025-01-03,07:22,UTC,Y,1,
43,DC-GLAS,NP-SKU-00082,receipt,335.4,SUP002-DEL-59368,2025-01-02,14:39,UTC,Y,1,
44,DC-GLAS,NP-SKU-00039,receipt,384.2,SUP010-DEL-62369,2025-01-02,19:32,UTC,Y,1,
45,DC-LEEDS,NP-SKU-00045,write_off,209.1,SUP002-DEL-37808,2025-01-06,13:41,UTC,Y,1,
46,DC-LEEDS,NP-SKU-00146,receipt,223.0,SUP019-DEL-13763,2025-01-03,12:08,UTC,Y,1,
47,DC-NORW,NP-SKU-00077,receipt,494.7,SUP009-DEL-34017,2025-01-02,19:09,UTC,Y,1,
48,DC-NORW,NP-SKU-00010,write_off,204.0,SUP015-DEL-19702,2025-01-01,11:37,UTC,Y,1,
49,DC-MANC,NP-SKU-00112,receipt,244.3,SUP020-DEL-21926,2025-01-02,17:32,UTC,Y,1,
50,DC-LEEDS,NP-SKU-00147,transfer,112.1,SUP004-DEL-67191,2025-01-02,12:57,UTC,Y,1,
51,DC-LEEDS,NP-SKU-00035,transfer,371.7,SUP008-DEL-32594,2025-01-07,14:10,UTC,Y,1,
52,DC-GLAS,NP-SKU-00130,write_off,47.9,SUP008-DEL-78745,2025-01-06,13:43,UTC,Y,1,
53,DC-BRIS,NP-SKU-00102,write_off,285.1,SUP008-DEL-42833,2025-01-06,16:49,UTC,Y,1,
54,DC-MANC,NP-SKU-00127,receipt,57.5,SUP001-DEL-15012,2025-01-05,19:03,UTC,Y,1,
