order_item_id,order_id,product_id,quantity,unit_price,line_total,discount_pct,created_at
1,1,41,2.9,11.91,34.54,0.04,2025-01-01 18:40:00
2,1,101,3,8.17,24.51,0.05,2025-01-01 18:40:00
3,1,144,6,8.55,51.3,0.06,2025-01-01 18:40:00
4,1,148,3,9.1,27.3,0.02,2025-01-01 18:40:00
5,1,52,6,9.18,55.08,0.06,2025-01-01 18:40:00
6,1,39,2.4,1.44,3.46,0.1,2025-01-01 18:40:00
7,2,51,5,11.21,56.05,0.05,2025-01-01 16:25:00
8,2,55,3,5.22,15.66,0.05,2025-01-01 16:25:00
9,2,110,3.7,5.25,19.43,0.02,2025-01-01 16:25:00
10,2,138,3.6,7.29,26.24,0.04,2025-01-01 16:25:00
11,2,140,1,5.28,5.28,0.05,2025-01-01 16:25:00
12,2,58,5,1.46,7.3,0.06,2025-01-01 16:25:00
13,2,132,6,5.81,34.86,0.0,2025-01-01 16:25:00
14,3,128,4,2.0,8.0,0.01,2025-01-01 15:07:00
15,4,2,3,6.67,20.01,0.06,2025-01-02 21:18:00
16,4,124,6,0.72,4.32,0.13,2025-01-02 21:18:00
17,4,99,5,2.89,14.45,0.02,2025-01-02 21:18:00
18,5,74,2,7.31,14.62,0.04,2025-01-02 17:42:00
19,5,114,3,7.89,23.67,0.13,2025-01-02 17:42:00
20,6,100,3,4.46,13.38,0.06,2025-01-02 14:09:00
21,6,49,4,2.09,8.36,0.14,2025-01-02 14:09:00
22,6,77,2.7,7.09,19.14,0.08,2025-01-02 14:09:00
23,7,29,2.8,10.98,30.74,0.11,2025-01-03 19:25:00
24,7,146,5,5.21,26.05,0.15,2025-01-03 19:25:00
25,8,106,5,3.08,15.4,0.05,2025-01-03 12:16:00
26,9,9,2.6,2.45,6.37,0.12,2025-01-03 09:08:00
27,9,147,2.7,8.76,23.65,0.09,2025-01-03 09:08:00
28,10,150,4.6,2.74,12.6,0.03,2025-01-04 06:49:00
29,10,70,5.5,5.32,29.26,0.07,2025-01-04 06:49:00
30,10,53,3,6.64,19.92,0.02,2025-01-04 06:49:00
31,10,12,5,9.67,48.35,0.04,2025-01-04 06:49:00
32,10,16,4,6.18,24.72,0.03,2025-01-04 06:49:00
33,11,65,1,1.69,1.69,0.0,2025-01-04 07:48:00
34,11,73,6,7.29,43.74,0.1,2025-01-04 07:48:00
35,12,13,6,10.84,65.04,0.02,2025-01-04 09:21:00
36,13,39,4,10.31,41.24,0.14,2025-01-04 12:33:00
37,14,140,6,11.6,69.6,0.13,2025-01-04 21:39:00
38,14,11,1.3,11.48,14.92,0.12,2025-01-04 21:39:00
39,14,67,6,11.25,67.5,0.05,2025-01-04 21:39:00
40,14,67,1,2.91,2.91,0.03,2025-01-04 21:39:00
41,14,109,3.1,11.82,36.64,0.01,2025-01-04 21:39:00
42,14,26,3.5,1.18,4.13,0.05,2025-01-04 21:39:00
43,14,124,4.4,1.49,6.56,0.07,2025-01-04 21:39:00
44,15,35,1,7.2,7.2,0.05,2025-01-05 22:28:00
45,15,5,3,10.92,32.76,0.1,2025-01-05 22:28:00
46,15,2,5.6,6.89,38.58,0.1,2025-01-05 22:28:00
47,15,75,1.2,6.64,7.97,0.13,2025-01-05 22:28:00
48,16,82,3.2,8.52,27.26,0.12,2025-01-05 09:27:00
49,16,55,4,10.27,41.08,0.06,2025-01-05 09:27:00
50,16,98,2.9,7.46,21.63,0.04,2025-01-05 09:27:00
51,16,21,4.0,3.97,15.88,0.15,2025-01-05 09:27:00
52,16,98,3.7,3.79,14.02,0.04,2025-01-05 09:27:00
53,17,31,1,1.38,1.38,0.04,2025-01-05 21:18:00
54,17,86,0.8,7.36,5.89,0.07,2025-01-05 21:18:00
55,17,48,4,6.8,27.2,0.12,2025-01-05 21:18:00
56,18,43,2,9.21,18.42,0.07,2025-01-05 19:52:00
57,18,80,1,2.1,2.1,0.05,2025-01-05 19:52:00
58,18,125,1,11.24,11.24,0.07,2025-01-05 19:52:00
59,18,139,5,3.67,18.35,0.08,2025-01-05 19:52:00
60,18,92,5,3.75,18.75,0.09,2025-01-05 19:52:00
61,18,57,1,4.75,4.75,0.09,2025-01-05 19:52:00
62,19,111,6,11.05,66.3,0.03,2025-01-05 07:58:00
63,19,94,3,10.69,32.07,0.13,2025-01-05 07:58:00
64,19,48,6,1.49,8.94,0.02,2025-01-05 07:58:00
65,19,104,4.1,5.16,21.16,0.0,2025-01-05 07:58:00
66,19,98,4,0.76,3.04,0.01,2025-01-05 07:58:00
67,19,76,6,11.09,66.54,0.02,2025-01-05 07:58:00
68,20,2,4,6.36,25.44,0.14,2025-01-06 17:57:00
69,20,108,3,0.97,2.91,0.11,2025-01-06 17:57:00
70,20,114,1,10.58,10.58,0.0,2025-01-06 17:57:00
71,20,106,5,1.18,5.9,0.04,2025-01-06 17:57:00
72,21,125,1.3,5.92,7.7,0.03,2025-01-06 14:50:00
73,21,129,1,4.54,4.54,0.12,2025-01-06 14:50:00
74,22,36,3.5,2.58,9.03,0.08,2025-01-06 10:44:00
75,22,73,2.0,4.26,8.52,0.02,2025-01-06 10:44:00
76,22,50,5,7.3,36.5,0.04,2025-01-06 10:44:00
77,23,70,4.5,6.87,30.91,0.07,2025-01-07 21:20:00
78,24,59,1,8.6,8.6,0.14,2025-01-07 20:48:00
79,24,89,3,2.73,8.19,0.15,2025-01-07 20:48:00
80,25,38,4.0,7.31,29.24,0.14,2025-01-07 12:16:00
81,25,2,4,3.83,15.32,0.1,2025-01-07 12:16:00
82,25,93,5,11.78,58.9,0.09,2025-01-07 12:16:00
83,25,119,1,1.97,1.97,0.08,2025-01-07 12:16:00
84,25,19,2.2,7.65,16.83,0.14,2025-01-07 12:16:00
85,25,85,0.9,4.33,3.9,0.11,2025-01-07 12:16:00
86,25,131,1,11.19,11.19,0.04,2025-01-07 12:16:00
87,25,121,4,3.81,15.24,0.13,2025-01-07 12:16:00
88,26,141,1.0,6.36,6.36,0.08,2025-01-08 12:02:00
89,26,58,1.7,4.46,7.58,0.15,2025-01-08 12:02:00
90,26,144,1,8.25,8.25,0.03,2025-01-08 12:02:00
91,27,38,5.0,7.64,38.2,0.14,2025-01-08 12:53:00
92,27,114,5.5,3.25,17.88,0.11,2025-01-08 12:53:00
93,28,82,5,4.22,21.1,0.05,2025-01-08 08:36:00
94,29,96,3,8.53,25.59,0.0,2025-01-09 14:24:00
